idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun
2126,2432,Theia_2267,UBC_300,1966.3965912501665,19.02367892272324,0.077019830617464,0.0040486296541446,61007.59381887103,False,651.29314636,704.78634073
2524,2557,UBC_516,UBC_576,3728.739799047221,119.21934770563608,0.040904207559916,0.0003431004140444,8494885.229614563,False,475.72974217,249.55236038
2640,2904,UBC_1147,UPK_265,2081.428738328156,44.46702853338813,0.0571817441032701,0.0012859358043305,604729.87310426,False,552.45536363,238.74277605
74,2386,Alessi-Teutsch_5,UBC_229,3310.9639261573334,85.68126012121375,0.0421888133522724,0.0004923925405927,4124554.721818593,False,236.41008528,448.69625203
1521,2117,NGC_2670,Theia_2133,2074.740995448947,49.0205411643445,0.0823317055847538,0.0016795348160015,354504.6841596544,False,1153.06572812,481.89388306
97,795,BH_111,Gulliver_31,5073.870834403842,172.70525159344805,0.0421639272781041,0.0002441380727515,16777566.783850126,False,330.94014086,717.70955194
726,1775,FSR_0953,OCSN_65,2499.201912368409,34.40141396178163,0.0555660945777043,0.0016152270554761,383294.72190271725,False,835.99257872,61.08501125
183,715,COIN-Gaia_3,FSR_0883,2847.594037919038,53.04698746691362,0.0757246314078696,0.0014275010707271,490735.0915294951,False,527.52322566,1370.76138374
2136,2445,Theia_2443,UBC_334,913.6245875167778,22.083563347543976,0.2735670397630914,0.012387812395028,6516.445399638589,False,237.14687007,7711.70193526
1902,2350,Ruprecht_144,UBC_155,1992.7790574695623,92.51179208326931,0.0798526341432385,0.0008631616829059,1342195.2385336333,False,500.14267541,977.08202246
634,1125,ESO_064-05,HSC_2461,224.4049513800203,16.44659705133544,0.0838893763993705,0.0051007133048571,38435.99889579662,False,108.98189874,74.61074798
1055,1215,HSC_1823,HXHWL_58,1147.696546917946,39.755181701618646,0.0516409419591809,0.0012989738632505,592651.2089024091,False,62.89938409,292.91565591
2199,2710,Theia_3740,UBC_1345,1419.0461141317285,35.943744922109495,0.0477776410970591,0.0013292338124642,565974.989021758,False,151.00752288,225.5703793
439,1520,CWNU_1773,NGC_2669,2794.9738356454745,39.57834858204802,0.0539872421953055,0.0013640600007195,537443.7935959605,False,266.84805224,680.19331282
1727,1869,OC_0369,Ruprecht_76,2029.2895328042605,37.82818589152627,0.0512896400154872,0.0013558577765944,543965.964685306,False,132.13613865,488.46452065
1301,2773,Koposov_12,UBC_1524,6373.822526148022,148.543085497645,0.0760978111847738,0.000512294536833,3810312.10911573,False,1702.45111799,2588.49649907
242,2751,CWNU_120,UBC_1458,3895.991064478349,106.68552767776522,0.0446775578495015,0.0004187780556744,5702065.051253532,False,390.82276814,513.25485334
2193,2204,Theia_3582,Theia_3832,3506.739895248749,89.56362123258225,0.0399316032308651,0.0004458462340102,5030715.932066032,False,105.58293006,544.46587488
476,688,CWNU_2180,FSR_0498,2397.15550847397,64.7255257229803,0.048858153964454,0.0007548514039663,1754999.7774083095,False,111.24006752,554.00127538
2477,2614,UBC_416,UBC_1070,2917.6070856984848,43.88368154369204,0.0475973605094286,0.0010846255107844,850041.9718018231,False,418.09266013,350.33229448
